"Variable","Nombre blanco","Nombre afroamericano","Diferencia","Error estándar"
"Años de experiencia",7.85626283367557,7.82956878850103,-0.0266940451745388,0.144589359548417
"Cantidad de empleos previos",3.66447638603696,3.65831622176591,-0.00616016427104737,0.0349427759282566
"Currículo de alta calidad",0.502258726899384,0.502258726899384,0,0.0143324449966931
"Tiene distinciones",0.0542094455852155,0.0513347022587271,-0.00287474332648832,0.00640877557368487
"Trabajo voluntario",0.408624229979466,0.414373716632444,0.00574948665297759,0.0141060458411534
"Servicio militar",0.0924024640657084,0.101848049281314,0.00944558521560578,0.00848749074298412
"Huecos en el historial",0.450102669404518,0.44599589322382,-0.00410677618069816,0.0142548959838858
"Sabe computación",0.808624229979467,0.832443531827516,0.023819301848049,0.0109947395880731
"Algo de universidad",0.716221765913757,0.722792607802875,0.00657084188911794,0.012877202755358
"Mujer",0.763860369609855,0.774537987679673,0.0106776180698174,0.0120769682855623
"Chicago (vs. Boston)",0.555236139630389,0.555236139630389,0,0.0142448643999799
